dbv,x,y,lv
155,0.3020,0.3112,4.0680
156,0.3022,0.3113,4.0831
157,0.3023,0.3114,4.0990
158,0.3023,0.3114,4.1126
159,0.3024,0.3115,4.1212
160,0.3026,0.3118,4.1331
161,0.3027,0.3119,4.1433
162,0.3026,0.3120,4.1461
163,0.3024,0.3118,4.1577
164,0.3024,0.3118,4.1636
165,0.3026,0.3116,4.2669
166,0.3027,0.3116,4.2758
167,0.3026,0.3115,4.2940
168,0.3026,0.3114,4.3177
169,0.3027,0.3114,4.3108
170,0.3030,0.3112,4.3155
171,0.3030,0.3111,4.3222
172,0.3032,0.3110,4.3384
173,0.3032,0.3109,4.3511
174,0.3029,0.3107,4.3635
175,0.3031,0.3116,4.3972
176,0.3031,0.3112,4.3996
177,0.3030,0.3105,4.4993
178,0.3030,0.3110,4.5381
179,0.3028,0.3111,4.5488
180,0.3029,0.3117,4.5759
181,0.3030,0.3118,4.5996
182,0.3028,0.3116,4.6064
183,0.3027,0.3115,4.6170
184,0.3027,0.3117,4.6395
185,0.3029,0.3120,4.6600
186,0.3025,0.3120,4.6476
187,0.3024,0.3119,4.6731
188,0.3022,0.3120,4.6961
189,0.3023,0.3113,4.7927
190,0.3023,0.3113,4.7923
191,0.3022,0.3114,4.8269
192,0.3022,0.3117,4.8453
193,0.3024,0.3114,4.8489
194,0.3026,0.3115,4.8509
195,0.3027,0.3122,4.8775
196,0.3029,0.3122,4.9021
197,0.3026,0.3123,4.9082
198,0.3028,0.3125,4.9104
199,0.3029,0.3128,4.9393
200,0.3029,0.3124,4.9398
201,0.3028,0.3122,4.9657
202,0.3029,0.3121,4.9739
203,0.3029,0.3123,4.9761
204,0.3029,0.3125,5.0025
205,0.3032,0.3131,5.0256
206,0.3033,0.3129,5.0479
207,0.3032,0.3123,5.1450
208,0.3030,0.3125,5.1620
209,0.3031,0.3127,5.1798
210,0.3031,0.3125,5.2038
211,0.3030,0.3125,5.2245
212,0.3029,0.3125,5.2388
213,0.3028,0.3123,5.2520
214,0.3028,0.3127,5.2770
215,0.3031,0.3131,5.2761
216,0.3030,0.3128,5.2936
217,0.3030,0.3127,5.3102
218,0.3030,0.3127,5.3188
219,0.3026,0.3122,5.4284
220,0.3025,0.3120,5.4489
221,0.3023,0.3120,5.4661
222,0.3023,0.3118,5.4774
223,0.3024,0.3119,5.4935
224,0.3022,0.3121,5.5111
225,0.3023,0.3124,5.5144
226,0.3023,0.3124,5.5417
227,0.3024,0.3123,5.5427
228,0.3025,0.3124,5.5566
229,0.3025,0.3123,5.5658
230,0.3028,0.3125,5.6076
231,0.3025,0.3120,5.7118
232,0.3027,0.3122,5.7289
233,0.3027,0.3123,5.7361
234,0.3026,0.3127,5.7637
235,0.3029,0.3131,5.7833
236,0.3029,0.3133,5.8126
237,0.3029,0.3138,5.8331
238,0.3029,0.3139,5.8798
239,0.3030,0.3141,5.8939
240,0.3031,0.3141,5.9087
241,0.3033,0.3143,5.9417
242,0.3031,0.3144,5.9558
243,0.3033,0.3144,6.0751
244,0.3033,0.3145,6.0962
245,0.3036,0.3149,6.1147
246,0.3036,0.3148,6.1420
247,0.3037,0.3146,6.1635
248,0.3037,0.3143,6.1691
249,0.3035,0.3137,6.3090
250,0.3036,0.3139,6.3188
251,0.3037,0.3137,6.3410
252,0.3036,0.3135,6.3388
253,0.3033,0.3138,6.3619
254,0.3031,0.3136,6.3727
255,0.3034,0.3139,6.3936
256,0.3033,0.3139,6.4167
257,0.3033,0.3141,6.4434
258,0.3031,0.3138,6.4481
259,0.3030,0.3135,6.4592
260,0.3032,0.3137,6.4823
261,0.3031,0.3133,6.6212
262,0.3030,0.3133,6.6485
263,0.3030,0.3137,6.6797
264,0.3033,0.3139,6.7166
265,0.3032,0.3142,6.7006
266,0.3033,0.3145,6.7165
267,0.3033,0.3150,6.7592
268,0.3034,0.3151,6.7856
269,0.3036,0.3152,6.8087
270,0.3036,0.3155,6.8336
271,0.3035,0.3157,6.8634
272,0.3036,0.3153,6.8790
273,0.3035,0.3154,7.0142
274,0.3037,0.3153,7.0370
275,0.3037,0.3151,7.0588
276,0.3036,0.3156,7.0653
277,0.3037,0.3156,7.0905
278,0.3038,0.3158,7.1202
279,0.3040,0.3156,7.1399
280,0.3041,0.3155,7.1602
281,0.3039,0.3153,7.1665
282,0.3038,0.3151,7.1995
283,0.3037,0.3155,7.2347
284,0.3036,0.3151,7.2421
285,0.3036,0.3148,7.3859
286,0.3038,0.3152,7.4116
287,0.3034,0.3148,7.4089
288,0.3035,0.3147,7.4373
289,0.3036,0.3148,7.4810
290,0.3035,0.3146,7.4781
291,0.3033,0.3147,7.5048
292,0.3032,0.3149,7.5481
293,0.3031,0.3151,7.5580
294,0.3030,0.3155,7.5962
295,0.3029,0.3158,7.6334
296,0.3030,0.3163,7.6669
297,0.3030,0.3165,7.6913
298,0.3030,0.3167,7.7121
299,0.3029,0.3168,7.7415
300,0.3029,0.3169,7.7551
301,0.3031,0.3171,7.7730
302,0.3033,0.3175,7.8145
303,0.3034,0.3177,7.8286
304,0.3033,0.3173,8.0017
305,0.3033,0.3173,8.0045
306,0.3036,0.3175,8.0510
307,0.3036,0.3177,8.0608
308,0.3038,0.3177,8.0876
309,0.3039,0.3176,8.1182
310,0.3036,0.3174,8.1020
311,0.3038,0.3174,8.1124
312,0.3039,0.3178,8.1668
313,0.3040,0.3179,8.1998
314,0.3040,0.3177,8.2141
315,0.3040,0.3177,8.2291
316,0.3043,0.3176,8.3942
317,0.3043,0.3174,8.4228
318,0.3042,0.3173,8.4799
319,0.3041,0.3172,8.4920
320,0.3041,0.3170,8.5415
321,0.3038,0.3169,8.5372
322,0.3038,0.3175,8.5777
323,0.3036,0.3175,8.5995
324,0.3036,0.3176,8.6277
325,0.3036,0.3178,8.6569
326,0.3037,0.3180,8.7026
327,0.3035,0.3183,8.7219
328,0.3033,0.3180,8.8884
329,0.3032,0.3180,8.9188
330,0.3032,0.3181,8.9611
331,0.3032,0.3181,8.9654
332,0.3031,0.3183,8.9982
333,0.3030,0.3184,9.0389
334,0.3030,0.3184,9.0346
335,0.3032,0.3187,9.0687
336,0.3035,0.3189,9.0999
337,0.3036,0.3191,9.1249
338,0.3037,0.3192,9.1390
339,0.3039,0.3191,9.1634
340,0.3040,0.3190,9.3530
341,0.3039,0.3193,9.3649
342,0.3040,0.3193,9.4099
343,0.3040,0.3193,9.4317
344,0.3038,0.3193,9.4559
345,0.3039,0.3193,9.4599
346,0.3042,0.3195,9.4655
347,0.3043,0.3195,9.5001
348,0.3043,0.3196,9.5602
349,0.3045,0.3195,9.5492
350,0.3046,0.3197,9.5819
351,0.3045,0.3202,9.6468
352,0.3044,0.3203,9.6941
353,0.3045,0.3206,9.7523
354,0.3045,0.3209,9.7860
355,0.3042,0.3211,9.8324
