,Mea_x,Mea_y,Mea_Lv
R:225,0.6835363,0.3160639,101.7394,
R:226,0.6835432,0.3160662,103.0976,
R:227,0.6835325,0.3160609,104.8139,
R:228,0.683521,0.3160644,106.682,
R:229,0.6835197,0.3160708,108.5606,
R:230,0.6835262,0.3160682,110.137,
R:231,0.683525,0.3160744,111.769,
R:232,0.6835048,0.3160775,113.8278,
R:233,0.6835174,0.3160836,115.7759,
R:234,0.6835025,0.3160852,117.535,
R:235,0.6834911,0.3160893,119.0394,
R:236,0.6834956,0.3160912,120.8837,
R:237,0.683497,0.3160818,123.1155,
R:238,0.6835037,0.3160889,125.0859,
R:239,0.6834897,0.3160908,126.6359,
R:240,0.6834875,0.3160891,128.2231,
R:241,0.6834791,0.3160912,130.8064,
R:242,0.6834779,0.3160946,132.8727,
R:243,0.6834778,0.3160927,134.7327,
R:244,0.6834803,0.3161032,136.7988,
R:245,0.6834701,0.3160968,139.516,
R:246,0.6834781,0.3161071,141.4098,
R:247,0.6834654,0.3161071,143.3614,
R:248,0.6834491,0.3161071,145.1945,
R:249,0.6834543,0.3161097,148.0886,
R:250,0.6834646,0.3161117,150.1737,
R:251,0.6834574,0.31611,152.0871,
R:252,0.6834465,0.3161188,154.6704,
R:253,0.6834426,0.3161204,157.3339,
R:254,0.6834402,0.3161222,159.2652,
R:255,0.6834419,0.3161279,161.3438,
G:0,0.3378859,0.4043405,0.0010806,
G:1,0.3915594,0.4336677,0.0009166,
G:2,0.6030187,0.7197949,0.0009967,
G:3,0.345052,0.531575,0.0017071,
G:4,0.2615301,0.5887928,0.0061815,
G:5,0.2625131,0.6693237,0.0198421,
G:6,0.2547009,0.689414,0.0417929,
G:7,0.2548693,0.7092626,0.0776195,
G:8,0.2514317,0.706547,0.1275443,
G:9,0.2496888,0.7037122,0.1773843,
G:10,0.2472834,0.7069221,0.2407605,
G:11,0.2494667,0.7105443,0.3093816,
G:12,0.2486064,0.7112526,0.3921877,
G:13,0.2480756,0.7115054,0.4717372,
G:14,0.247465,0.7107643,0.5821713,
G:15,0.247693,0.7134311,0.6890116,
G:16,0.2465821,0.7123233,0.7904257,
G:17,0.2465225,0.7130474,0.894778,
G:18,0.2467538,0.7137864,1.038047,
G:19,0.2461355,0.7127906,1.162125,
G:20,0.2461903,0.71369,1.321375,
G:21,0.2457814,0.7135693,1.489133,
G:22,0.2457069,0.7136835,1.661436,
G:23,0.2453884,0.7140705,1.841916,
G:24,0.2451973,0.7141721,2.005576,
G:25,0.2452646,0.7143462,2.192403,
G:26,0.2451563,0.7145733,2.380917,
G:27,0.2449785,0.7149369,2.611486,
G:28,0.2447775,0.7147224,2.828779,
G:29,0.2448032,0.7149472,3.077657,
G:30,0.2444955,0.7151852,3.342837,
G:31,0.2445514,0.7152567,3.553554,
G:32,0.2444051,0.7152676,3.780286,
G:33,0.2442498,0.7153105,3.998193,
G:34,0.2442552,0.7152933,4.246133,
G:35,0.2441219,0.7156247,4.523418,
G:36,0.2440578,0.7153592,4.755845,
G:37,0.2439923,0.7156655,5.12204,
G:38,0.2438626,0.7157046,5.39251,
G:39,0.2438559,0.7157243,5.669048,
G:40,0.2437522,0.715804,6.057357,
G:41,0.2436369,0.7158731,6.402064,
G:42,0.2435713,0.7158757,6.784062,
G:43,0.2435019,0.7158855,7.196947,
G:44,0.2434921,0.7160153,7.541719,
