Name,CMD,Para,R/W,D7,D6,D5,D4,D3,D2,D1,D0,Initial(Hex),Owner,Description
,,8,RW,-,-,VGL_REG_S[5:0],,,,,,14,,
,,9,RW,-,VDDDL_S[2:0],,,-,VDDDR_S[2:0],,,44,,
,,10,RW,-,-,-,-,-,AP[2:0],,,3,,
BIST,C0,1,RW,-,BIST_TEST,BIST_FCNT[1:0],,CHECKBALL_OPT,FLICK_PATTERN_OPT,BIST_PAUSE,BIST_ON,10,WL,
,,2,RW,-,-,-,BIST_PCH[4:0],,,,,0E,,
,,3,RW,BIST_IMG_SEL[15:8],,,,,,,,0,,
,,4,RW,BIST_IMG_SEL[7:0],,,,,,,,0,,
TCON,C1,1,RW,VBP[7:0],,,,,,,,0C,Ricky,
,,2,RW,VFP[7:0],,,,,,,,10,,
,,3,RW,VSA[7:0],,,,,,,,4,,
,,4,RW,HBP[7:0],,,,,,,,0C,,
,,5,RW,HFP[7:0],,,,,,,,10,,
,,6,RW,HSA[7:0],,,,,,,,4,,
TCON_2,C2,1,RW,NL_FIX,NL[10:8],,,-,-,RSO[1:0],,80,Ricky,
,,2,RW,NL[7:0],,,,,,,,10,,
TCON_3,C3,1,RW,-,I2O_BLKF_S[2:0],,,BLK_KP,O2I_BLKF_S[2:0],,,22,Ricky,
,,2,RW,REV_EOR,B4_EOR,B3_EOR,B2_EOR,-,-,DM[1:0],,1,,
,,3,RW,DIV_OSC,-,-,-,DPL,EPL,VPL,HPL,4,,
DSTB,C4,1,RW,-,-,-,-,-,-,-,DSTB,0,Sam,
TE,C5,1,RW,TE_ABO,TE_2_SEL[2:0],,,-,TE_1_SEL[2:0],,,0,Ricky,
,,2,RW,TP_HS_H[7:0],,,,,,,,0,,
,,3,RW,TP_HS_L[7:0],,,,,,,,0,,
,,4,RW,-,-,TE_RISE[1:0],,-,TP_VS_H[10:8],,,10,,
,,5,RW,TP_VS_H[7:0],,,,,,,,0,,
,,6,RW,-,-,TE_FALL[1:0],,-,TP_VS_L[10:8],,,10,,
,,7,RW,TP_VS_L[7:0],,,,,,,,0,,
SRC_TIM,C6,1,RW,SD1[7:0],,,,,,,,8,Story,
,,2,RW,SD2[7:0],,,,,,,,10,,
,,3,RW,SD3[7:0],,,,,,,,68,,
,,4,RW,OP_ON1[7:0],,,,,,,,0C,,
,,5,RW,OP_ON2[7:0],,,,,,,,0C,,
,,6,RW,OP_OFF1[7:0],,,,,,,,60,,
,,7,RW,OP_OFF2[7:0],,,,,,,,30,,
,,8,RW,SRC_DUM7,SRC_DUM6,SRC_DUM5,SRC_DUM4,SRC_DUM3,SRC_DUM2,SRC_DUM1,SRC_DUM0,0,,
SRCCON,C7,1,RW,EARLY_HS_SEL,SMEQOFF,CHOPPER_OP[1:0],,SDDUM,SLP_BULK,PORCH_HIZ,PORCH_GND,0,Story,
,,2,RW,-,-,Z_SHIFT,Z_LINE,-,INV_SEL[2:0],,,5,,
,,3,RW,BULK_DELAY[3:0],,,,OPEN2,OPMSET,EQPSET,SWSET,20,,
,,4,RW,-,-,-,SDPORCH_DATA,-,NEQSTOP,CPTEST,CP_ODD,0,,
,,5,RW,SDSW_DATA,OPBIAS[2:0],,,OPDR[3:0],,,,0,,
SET_GAMMA ,C8,1,RW,-,P18[6:0],,,,,,,7C,Story,
,,2,RW,-,P17[6:0],,,,,,,6D,,
,,3,RW,-,P16[6:0],,,,,,,63,,
,,4,RW,-,P15[6:0],,,,,,,59,,
,,5,RW,-,P14[6:0],,,,,,,57,,
,,6,RW,-,P13[6:0],,,,,,,4A,,
,,7,RW,-,P12[6:0],,,,,,,51,,
,,8,RW,-,P11[6:0],,,,,,,3A,,
,,9,RW,-,P10[6:0],,,,,,,55,,
,,10,RW,-,P9[6:0],,,,,,,53,,
,,11,RW,-,P8[6:0],,,,,,,55,,
,,12,RW,-,P7[6:0],,,,,,,7A,,
,,13,RW,-,P6[6:0],,,,,,,6F,,
,,14,RW,-,P5[6:0],,,,,,,7F,,
,,15,RW,-,P4[6:0],,,,,,,75,,
,,16,RW,-,P3[6:0],,,,,,,72,,
,,17,RW,-,P2[6:0],,,,,,,62,,
,,18,RW,-,P1[6:0],,,,,,,2D,,
,,19,RW,-,P0[6:0],,,,,,,6,,
,,20,RW,-,N18[6:0],,,,,,,7C,,
,,21,RW,-,N17[6:0],,,,,,,6D,,
,,22,RW,-,N16[6:0],,,,,,,63,,
,,23,RW,-,N15[6:0],,,,,,,59,,
,,24,RW,-,N14[6:0],,,,,,,57,,
,,25,RW,-,N13[6:0],,,,,,,4A,,
,,26,RW,-,N12[6:0],,,,,,,51,,
,,27,RW,-,N11[6:0],,,,,,,3A,,
,,28,RW,-,N10[6:0],,,,,,,55,,
,,29,RW,-,N9[6:0],,,,,,,53,,
,,30,RW,-,N8[6:0],,,,,,,55,,
,,31,RW,-,N7[6:0],,,,,,,7A,,
,,32,RW,-,N6[6:0],,,,,,,6F,,
,,33,RW,-,N5[6:0],,,,,,,7F,,
,,34,RW,-,N4[6:0],,,,,,,75,,
,,35,RW,-,N3[6:0],,,,,,,72,,
,,36,RW,-,N2[6:0],,,,,,,62,,
,,37,RW,-,N1[6:0],,,,,,,2D,,
,,38,RW,-,N0[6:0],,,,,,,6,,
SET_GAMMA_OP,C9,1,RW,-,-,-,-,SW[11:8],,,,0,Story,
,,2,RW,SW[7:0],,,,,,,,0,,
,,3,RW,-,GOP_BIAS[2:0],,,-,GOPDR[2:0],,,31,,
,,4,RW,-,VTEST[6:0],,,,,,,0,,
,,5,RW,-,-,CHOPPER_GOP[1:0],,GLDOSET,GOPEN[2:0],,,7,,
OTP_AUTO_PROG,CA,1,RW,OTP_KEY1[7:0],,,,,,,,0,WL,
,,2,RW,OTP_KEY2[7:0],,,,,,,,0,,
,,3,RW,OTP_PROG_BANK[7:0],,,,,,,,0,,
,,4,RW,OTP_PROG_BANK[8],OTP_LOAD_DISABLE,OTP_PTM[1:0] ,,OTP_PGM_DT_S[1:0],,OTP_PGM_SEL,OTP_INT_VPP,0,,
,,5,RW,-,-,-,-,-,-,-,OTP_AUTO_PROG,0,,
,,6,RW,-,-,-,-,-,OTP_PROG_TIMES[2:0],,,0,,
OTP_MANUAL_PROG,CB,1,RW,OTP_MASK[7:0] ,,,,,,,,0,WL,
,,2,RW,-,-,-,-,-,-,OTP_INDEX[9:8],,0,,
,,3,RW,OTP_INDEX[7:0],,,,,,,,0,,
,,4,RW,OTP_WDATA[7:0],,,,,,,,0,,
,,5,RW,OTP_RDATA[7:0],,,,,,,,0,,
,,6,RW,-,-,-,-,OTP_PPROG,OTP_VPP_SEL,OTP_PRD,OTP_PWE ,0,,
ETC,D0,1,RW,-,-,-,-,-,FS_BLK,GON_FS,FS_EN,7,Sam,
,,2,RW,FS_DETECT[7:0],,,,,,,,10,,
,,3,RW,BATON_CNT[7:0],,,,,,,,0,,
DSICMD,D1,1,RW,DSICMD0[7:0],,,,,,,,0,ivory,
,,2,RW,DSICMD1[7:0],,,,,,,,0D,,
,,3,RW,DSICMD2[7:0],,,,,,,,FF,,
,,4,RW,DSICMD3[7:0],,,,,,,,0F,,
DSISETUP,D2,1,RW,-,DSISETUP0[6:0],,,,,,,63,David,
,,2,RW,DSISETUP1[7:0],,,,,,,,2B,,
,,3,RW,DSIOTP0[7:0],,,,,,,,30,,
,,4,RW,DSIOTP1[7:0],,,,,,,,0C,,
DSIHSSET,D3,1,RW,-,HSRX_CK[6:0],,,,,,,0,David,
,,2,RW,-,HSRX_D0[6:0],,,,,,,0,,
,,3,RW,-,HSRX_D1[6:0],,,,,,,0,,
,,4,RW,-,HSRX_D2[6:0],,,,,,,0,,
,,5,RW,-,HSRX_D3[6:0],,,,,,,0,,
,,6,RW,-,HS_LDOSEL[6:0],,,,,,,43,,
,,7,RW,-,HS_POWSET[6:0],,,,,,,20,,HS_POWSET[6]= BS[0]
,,8,RW,-,HS_SET[6:0],,,,,,,29,,
,,9,RW,-,-,HS_VOLSET[5:0],,,,,,11,,
,,10,RW,-,LP_SET[6:0],,,,,,,6,,
LV3,D4,1,RW,-,DATA_DLY[2:0],,,LT_LCLK_DLY[1:0],,LT_STP_DLY[1:0],,0,ALL,
,,2,RW,-,DUM_DATA_INV,OSC_BIAS,OSCD_FAST,-,INTER_HSIZE,MIPI_HSCLK_SEL,MAN_HSIZE_SEL,0,,
,,3,RW,-,NO_DAC,INV_OPT,ENBUS_H,-,EXT_OSC,EDS_SD_SW,FAST_DISP,0,,
,,4,RW,36H_SYNC,BYPASS_FIFO,BYPASS_IP,MON_SEL[4:0],,,,,80,,
,,5,RW,OSCDP_SEL_MON[1:0],,OSCDSI_SEL_MON[1:0],,TEP_EN,NBTARTN[2:0],,,4,,
,,6,RW,OSCDP_TEST_EN,OSCDP_ADJ[2:0],,,OSCDSI_TEST_EN,OSCDSI_ADJ[2:0],,,44,,
,,7,RW,-,-,-,-,OSCDP_STABLE[1:0],,OSCDP_SS_SEL[1:0],,0,,
,,8,RW,PWR_DUM7,PWR_DUM6,PWR_DUM5,PWR_DUM4,PWR_DUM3,PWR_DUM2,PWR_DUM1,PWR_DUM0,0,,
,,9,RW,DUM_FF1[7:0],,,,,,,,0,,
,,10,RW,DUM_FF2[7:0],,,,,,,,0,,
GPARA,D5,1,RW,GPARA[7:0],,,,,,,,0,Sam,
DBG,D6,1,RW,DBG_EN,DBG_MUX[6:0],,,,,,,1,Sam,
CABC_CTR,E0,1,RW,BCFRQSEL[8],-,BCMODE[1:0],,PWM_POL,BLMODEINSLP,BRSEL,DITH_ON,22,Ricky,
,,2,RW,BCFRQSEL[7:0],,,,,,,,3,,
,,3,RW,-,DT[2:0],,,-,BLDIMMSTEP[2:0],,,20,,
,,4,RW,DSTEP[3:0],,,,-,DFSTEP[2:0],,,0,,
,,5,RW,PSBR[7:0],,,,,,,,FF,,
CABC_SET,E1,1,RW,TMFGAIN_M0_00[7:0],,,,,,,,A6,Ricky,
,,2,RW,TMFGAIN_M0_01[7:0],,,,,,,,C8,,
,,3,RW,TMFGAIN_M0_02[7:0],,,,,,,,EA,,
,,4,RW,TMFGAIN_M0_03[7:0],,,,,,,,E6,,
,,5,RW,TMFGAIN_M0_04[7:0],,,,,,,,E4,,
,,6,RW,TMFGAIN_M0_05[7:0],,,,,,,,CC,,
,,7,RW,TMFGAIN_M0_06[7:0],,,,,,,,E4,,
,,8,RW,TMFGAIN_M0_07[7:0],,,,,,,,BE,,
,,9,RW,TMFGAIN_M0_08[7:0],,,,,,,,F0,,
,,10,RW,TMFGAIN_M0_09[7:0],,,,,,,,B2,,
,,11,RW,TMFGAIN_M0_10[7:0],,,,,,,,AA,,
,,12,RW,TMFGAIN_M0_11[7:0],,,,,,,,C7,,
,,13,RW,TMFGAIN_M0_12[7:0],,,,,,,,FF,,
,,14,RW,BCSAVE_M0_00[7:0],,,,,,,,66,,
,,15,RW,BCSAVE_M0_01[7:0],,,,,,,,98,,
,,16,RW,BCSAVE_M0_02[7:0],,,,,,,,E3,,
,,17,RW,BCSAVE_M0_03[7:0],,,,,,,,87,,
,,18,RW,BCSAVE_M0_04[7:0],,,,,,,,C8,,
,,19,RW,BCSAVE_M0_05[7:0],,,,,,,,99,,
,,20,RW,BCSAVE_M0_06[7:0],,,,,,,,C8,,
,,21,RW,BCSAVE_M0_07[7:0],,,,,,,,8C,,
,,22,RW,BCSAVE_M0_08[7:0],,,,,,,,BE,,
,,23,RW,BCSAVE_M0_09[7:0],,,,,,,,96,,
,,24,RW,BCSAVE_M0_10[7:0],,,,,,,,91,,
,,25,RW,BCSAVE_M0_11[7:0],,,,,,,,8F,,
,,26,RW,BCSAVE_M0_12[7:0],,,,,,,,FF,,
CE_CTRL,E2,1,RW,-,-,-,-,-,-,CE_DRC_OR_PCE,CE_ON,0,Ricky,
,,2,RW,CE_BETA[3:0],,,,-,-,CE_ALPHA[1:0],,0,,
,,3,RW,CE_STRENGTH[3:0],,,,-,-,CE_NOISE[1:0],,0,,
DGC_CTRL,E3,1,RW,-,-,-,-,-,-,DTR_EN,DGC_EN,0,WL,
DGC_R ,E4,1,RW,DGC_R_V255[9:2],,,,,,,,FF,WL,
,,2,RW,DGC_R_V254[9:2],,,,,,,,FE,,
,,3,RW,DGC_R_V252[9:2],,,,,,,,FC,,
,,4,RW,DGC_R_V250[9:2],,,,,,,,FA,,
,,5,RW,DGC_R_V248[9:2],,,,,,,,F8,,
,,6,RW,DGC_R_V244[9:2],,,,,,,,F4,,
,,7,RW,DGC_R_V240[9:2],,,,,,,,F0,,
,,8,RW,DGC_R_V232[9:2],,,,,,,,E8,,
,,9,RW,DGC_R_V224[9:2],,,,,,,,E0,,
,,10,RW,DGC_R_V208[9:2],,,,,,,,D0,,
,,11,RW,DGC_R_V192[9:2],,,,,,,,C0,,
,,12,RW,DGC_R_V160[9:2],,,,,,,,A0,,
,,13,RW,DGC_R_V128[9:2],,,,,,,,80,,
,,14,RW,DGC_R_V127[9:2],,,,,,,,7F,,
,,15,RW,DGC_R_V95[9:2],,,,,,,,5F,,
,,16,RW,DGC_R_V63[9:2],,,,,,,,3F,,
,,17,RW,DGC_R_V47[9:2],,,,,,,,2F,,
,,18,RW,DGC_R_V31[9:2],,,,,,,,1F,,
,,19,RW,DGC_R_V23[9:2],,,,,,,,17,,
,,20,RW,DGC_R_V15[9:2],,,,,,,,0F,,
,,21,RW,DGC_R_V11[9:2],,,,,,,,0B,,
,,22,RW,DGC_R_V7[9:2],,,,,,,,7,,
,,23,RW,DGC_R_V5[9:2],,,,,,,,5,,
,,24,RW,DGC_R_V3[9:2],,,,,,,,3,,
,,25,RW,DGC_R_V1[9:2],,,,,,,,1,,
,,26,RW,DGC_R_V0[9:2],,,,,,,,0,,
DGC_G ,E5,1,RW,DGC_G_V255[9:2],,,,,,,,FF,WL,
,,2,RW,DGC_G_V254[9:2],,,,,,,,FE,,
,,3,RW,DGC_G_V252[9:2],,,,,,,,FC,,
,,4,RW,DGC_G_V250[9:2],,,,,,,,FA,,
