R_inp,G_inp,B_inp,xtarg,ytarg,Ytarg,xout,yout,Yout,delta_uv,JNCD,DEL*a*b*,DE2000
255,63,63,0.575283919807782,0.329778720878843,91.3963425926987,0.639803349971771,0.315071731805801,113.181060791016,0.0690565805671151,17.2641451417788,34.2576892617808,7.77439548292718
255,159,63,0.488065202753247,0.415393432054996,168.514862486537,0.552181839942932,0.403949588537216,182.267623901367,0.0493387490191043,12.3346872547761,31.8412619735344,8.81034930317053
255,255,63,0.410827057613752,0.491211120175369,338.150020560197,0.434172183275223,0.523086965084076,362.984558105469,0.0126031193581841,3.15077983954603,30.4439496076759,5.8674570511444
159,255,63,0.345415406289095,0.53721824001956,287.72435696056,0.318869262933731,0.618181467056274,308.524841308594,0.0320531278839479,8.01328197098697,40.2297560416401,6.84633583775573
63,255,63,0.301496424343257,0.568108545108912,264.800143692342,0.245519712567329,0.678708076477051,288.463531494141,0.0428816132993833,10.7204033248458,54.037467028927,8.16634934305245
63,255,159,0.268513508501889,0.457475431923356,272.585318659253,0.216025710105896,0.510781228542328,285.812286376953,0.0373106946781743,9.32767366954358,42.0509417707308,8.46118391042861
63,255,255,0.230138850487552,0.328757040136042,289.710120690738,0.181991621851921,0.315954685211182,287.538757324219,0.0318673044894218,7.96682612235546,28.2993158424797,8.04130309202632
63,159,255,0.197137346164083,0.200625370744229,120.074962617078,0.159589290618896,0.158217325806618,107.228912353516,0.0523789388424392,13.0947347106098,21.6877236807643,5.56894058268042
127,127,255,0.215904016359981,0.168939939391964,97.7022397173426,0.186385437846184,0.130297794938087,88.144401550293,0.0520139236268837,13.0034809067209,24.6239195140988,5.89460373790173
191,127,255,0.262996668784028,0.186818026206665,121.534732301908,0.246478468179703,0.152249127626419,115.69123840332,0.0406172974554268,10.1543243638567,25.3370262636642,5.6481652900337
255,127,255,0.318400564273079,0.207851363732587,158.507434066394,0.324594885110855,0.180891305208206,163.604675292969,0.0353637635564073,8.84094088910183,27.7225098514786,5.73195990612491
255,127,191,0.382073209807881,0.26375731302549,145.951323683535,0.413977444171906,0.243627175688744,155.775161743164,0.043001477617377,10.7503694043443,24.9634920939609,6.42203822538472
255,127,127,0.456867369320593,0.329428190275871,137.857692617657,0.513813197612762,0.314247637987137,151.713043212891,0.0552792030937891,13.8198007734473,26.5587919742191,7.3618671190637
255,191,127,0.418901089047044,0.394914117697228,218.031722234219,0.463151544332504,0.39033842086792,226.963333129883,0.0317157401697352,7.92893504243379,19.617238227077,9.12636373032499
255,255,127,0.386443867168638,0.450897776378403,342.410256109857,0.40502592921257,0.476599186658859,363.922912597656,0.0112948443750453,2.82371109376132,17.203522374563,4.26713130600424
191,255,127,0.342543327295191,0.471828892639113,305.43755434537,0.32822448015213,0.520359098911285,321.979949951172,0.0229222697415593,5.73056743538983,24.9317314529741,5.85601938472558
127,255,127,0.305178169185868,0.489644037298851,281.605061760805,0.264345407485962,0.556789219379425,297.962463378906,0.0352126501244109,8.80316253110273,38.3173053224714,7.75394089892711
127,255,191,0.275702123324569,0.40802580378303,289.698692826683,0.232550665736198,0.432977348566055,297.514587402344,0.0300999905683405,7.52499764208513,31.0890135187547,8.23357727768405
127,255,255,0.247092702004161,0.328807226058283,302.254803209542,0.202586248517036,0.315675050020218,298.768249511719,0.0295542797463605,7.38856993659012,24.5575274901771,8.35759952701806
127,191,255,0.231687724104921,0.249844231400455,177.876269333905,0.193316712975502,0.21084001660347,162.76530456543,0.0410709729122571,10.2677432280643,19.1645840539883,6.390532165513
191,191,255,0.269302036246271,0.257224232565116,201.70876191847,0.245270058512688,0.221385344862938,188.834335327148,0.0318664999511017,7.96662498777543,18.5633400086872,7.24894287916016
223,191,255,0.291835127479228,0.261645268869534,218.451670908711,0.279746830463409,0.228390052914619,209.177841186523,0.027728419222623,6.93210480565576,20.0608883137815,7.39638212798413
255,191,255,0.315657112250729,0.266319188591835,238.681463682956,0.31580838561058,0.235820978879929,234.212295532227,0.0276308176258957,6.90770440647392,22.6741619894161,7.47279691612594
255,191,223,0.339916154986239,0.296534896834961,231.811327096407,0.350498914718628,0.272091418504715,231.683883666992,0.0249054727737295,6.22636819343237,19.4773855651159,7.95750104752489
255,191,191,0.366109234069954,0.329159532695971,226.125353300097,0.388989299535751,0.312423557043076,229.537521362305,0.0256610646153284,6.41526615383209,17.4245715079958,8.90414441580588
255,223,191,0.358161606876919,0.361719871553352,282.449570185424,0.373109012842178,0.356214165687561,289.512573242188,0.0123429561152032,3.08573902880079,9.00648416555435,7.27612977849165
255,255,191,0.35078478203005,0.391941711465034,350.503887175734,0.357081532478333,0.400241732597351,364.340881347656,0.00448943941007769,1.12235985251942,5.00752069494545,1.93720383214815
223,255,191,0.329492551445304,0.396502900536994,330.274094401489,0.321308493614197,0.409553319215775,341.183807373047,0.00985497681170837,2.46374420292709,9.68564912667487,3.96440588756953
191,255,191,0.309346071665276,0.400818648623854,313.531185411248,0.286395937204361,0.41861155629158,321.875,0.018750060690257,4.68751517256426,17.9596033001849,6.31706143880084
191,255,223,0.29213093504407,0.363994789873123,319.217159207558,0.264157831668854,0.364586919546127,322.482727050781,0.0183003087719145,4.57507719297863,15.8797998748293,7.17459538989494
191,255,255,0.27572038246966,0.328891968250603,326.087295794108,0.2438675314188,0.315206170082092,322.980621337891,0.0213084345710938,5.32710864277344,15.6108872679504,8.2467080248706
191,223,255,0.2725840090389,0.293870987109454,258.032978803797,0.244589701294899,0.267329901456833,248.467712402344,0.0242235909339484,6.0558977334871,13.883859044225,7.20747241857725
255,255,255,0.312715907221582,0.329001480506662,363.059997558594,0.3032086789608,0.314641267061234,364.593872070313,0.00939457415201052,2.34864353800263,7.49866282073619,6.66385055364457
